transaction_date,total_transactions,total_payment_volume,approved_transactions,failed_transactions,fraud_transactions,chargeback_transactions,approval_rate_pct,failure_rate_pct,fraud_rate_pct,chargeback_rate_pct
2024-05-20,266,14014.23,244,22,12,4,91.73,8.27,4.51,1.5
2024-05-21,275,13069.59,263,12,15,5,95.64,4.36,5.45,1.82
2024-05-22,272,14537.46,247,25,9,10,90.81,9.19,3.31,3.68
2024-05-23,296,17758.1,271,25,14,4,91.55,8.45,4.73,1.35
2024-05-24,299,17841.95,272,27,8,5,90.97,9.03,2.68,1.67
2024-05-25,268,14063.52,248,20,12,3,92.54,7.46,4.48,1.12
2024-05-26,274,13399.43,254,20,12,7,92.7,7.3,4.38,2.55
2024-05-27,281,17150.75,255,26,14,8,90.75,9.25,4.98,2.85
2024-05-28,283,14925.0,263,20,9,3,92.93,7.07,3.18,1.06
2024-05-29,299,16657.96,277,22,13,10,92.64,7.36,4.35,3.34
2024-05-30,277,14445.63,262,15,7,5,94.58,5.42,2.53,1.81
2024-05-31,260,13708.68,241,19,15,7,92.69,7.31,5.77,2.69
2024-06-01,288,16251.79,266,22,14,8,92.36,7.64,4.86,2.78
2024-06-02,278,17467.28,258,20,8,5,92.81,7.19,2.88,1.8
2024-06-03,268,12197.49,243,25,12,5,90.67,9.33,4.48,1.87
2024-06-04,277,14665.73,250,27,11,4,90.25,9.75,3.97,1.44
2024-06-05,267,12608.32,246,21,10,6,92.13,7.87,3.75,2.25
2024-06-06,268,15673.59,245,23,14,8,91.42,8.58,5.22,2.99
2024-06-07,278,14889.88,253,25,12,8,91.01,8.99,4.32,2.88
2024-06-08,289,16853.05,264,25,9,6,91.35,8.65,3.11,2.08
2024-06-09,272,15233.56,256,16,8,5,94.12,5.88,2.94,1.84
2024-06-10,281,15365.43,260,21,9,5,92.53,7.47,3.2,1.78
2024-06-11,257,13784.73,239,18,15,5,93.0,7.0,5.84,1.95
2024-06-12,231,11753.65,214,17,12,0,92.64,7.36,5.19,0.0
2024-06-13,298,17515.74,279,19,11,2,93.62,6.38,3.69,0.67
2024-06-14,246,13661.09,226,20,13,8,91.87,8.13,5.28,3.25
2024-06-15,260,13442.03,239,21,10,7,91.92,8.08,3.85,2.69
2024-06-16,286,14496.22,262,24,8,4,91.61,8.39,2.8,1.4
2024-06-17,286,15013.77,255,31,9,8,89.16,10.84,3.15,2.8
2024-06-18,293,15284.71,276,17,14,8,94.2,5.8,4.78,2.73
2024-06-19,298,16319.44,278,20,10,4,93.29,6.71,3.36,1.34
2024-06-20,283,15952.08,268,15,10,5,94.7,5.3,3.53,1.77
2024-06-21,281,17224.96,259,22,10,5,92.17,7.83,3.56,1.78
2024-06-22,248,14743.44,229,19,8,6,92.34,7.66,3.23,2.42
2024-06-23,260,13779.59,233,27,11,5,89.62,10.38,4.23,1.92
2024-06-24,293,15197.38,270,23,11,5,92.15,7.85,3.75,1.71
2024-06-25,285,16502.9,263,22,14,6,92.28,7.72,4.91,2.11
2024-06-26,284,14970.95,264,20,14,3,92.96,7.04,4.93,1.06
2024-06-27,272,15088.31,262,10,11,8,96.32,3.68,4.04,2.94
2024-06-28,245,11583.01,220,25,15,7,89.8,10.2,6.12,2.86
2024-06-29,301,17587.89,275,26,10,6,91.36,8.64,3.32,1.99
2024-06-30,265,15571.63,251,14,12,8,94.72,5.28,4.53,3.02
2024-07-01,275,15340.26,252,23,9,3,91.64,8.36,3.27,1.09
2024-07-02,277,14786.92,250,27,18,7,90.25,9.75,6.5,2.53
2024-07-03,283,14478.47,264,19,8,5,93.29,6.71,2.83,1.77
2024-07-04,273,15123.68,253,20,8,4,92.67,7.33,2.93,1.47
2024-07-05,277,13760.91,248,29,11,3,89.53,10.47,3.97,1.08
2024-07-06,285,15903.33,259,26,7,4,90.88,9.12,2.46,1.4
2024-07-07,294,15979.41,268,26,10,7,91.16,8.84,3.4,2.38
2024-07-08,279,15192.99,258,21,12,4,92.47,7.53,4.3,1.43
2024-07-09,291,15716.86,272,19,13,12,93.47,6.53,4.47,4.12
2024-07-10,258,12275.29,229,29,8,1,88.76,11.24,3.1,0.39
2024-07-11,272,14499.86,253,19,8,5,93.01,6.99,2.94,1.84
2024-07-12,277,16116.7,255,22,10,5,92.06,7.94,3.61,1.81
2024-07-13,262,12753.36,244,18,7,4,93.13,6.87,2.67,1.53
2024-07-14,267,14328.38,237,30,12,5,88.76,11.24,4.49,1.87
2024-07-15,285,15702.21,268,17,14,5,94.04,5.96,4.91,1.75
2024-07-16,233,13846.18,215,18,14,6,92.27,7.73,6.01,2.58
2024-07-17,271,14036.75,251,20,21,8,92.62,7.38,7.75,2.95
2024-07-18,270,14718.37,250,20,10,5,92.59,7.41,3.7,1.85
2024-07-19,255,14461.73,237,18,12,3,92.94,7.06,4.71,1.18
2024-07-20,258,14637.12,241,17,7,5,93.41,6.59,2.71,1.94
2024-07-21,267,16616.29,243,24,6,1,91.01,8.99,2.25,0.37
2024-07-22,294,16409.1,275,19,14,4,93.54,6.46,4.76,1.36
2024-07-23,256,13694.17,235,21,12,5,91.8,8.2,4.69,1.95
2024-07-24,276,15719.98,265,11,11,8,96.01,3.99,3.99,2.9
2024-07-25,275,16547.94,246,29,12,8,89.45,10.55,4.36,2.91
2024-07-26,293,15073.32,273,20,13,9,93.17,6.83,4.44,3.07
2024-07-27,274,15274.78,248,26,16,4,90.51,9.49,5.84,1.46
2024-07-28,271,14508.11,256,15,13,2,94.46,5.54,4.8,0.74
2024-07-29,284,18039.89,266,18,14,10,93.66,6.34,4.93,3.52
2024-07-30,292,16632.52,276,16,12,5,94.52,5.48,4.11,1.71
2024-07-31,280,14172.43,268,12,18,4,95.71,4.29,6.43,1.43
2024-08-01,228,11766.58,211,17,6,2,92.54,7.46,2.63,0.88
2024-08-02,310,16247.7,279,31,16,6,90.0,10.0,5.16,1.94
2024-08-03,276,15222.88,257,19,10,6,93.12,6.88,3.62,2.17
2024-08-04,256,14234.43,237,19,13,5,92.58,7.42,5.08,1.95
2024-08-05,257,12862.55,238,19,10,4,92.61,7.39,3.89,1.56
2024-08-06,273,13004.8,256,17,13,5,93.77,6.23,4.76,1.83
2024-08-07,284,16681.25,256,28,7,3,90.14,9.86,2.46,1.06
2024-08-08,303,18221.58,283,20,18,6,93.4,6.6,5.94,1.98
2024-08-09,277,16728.48,258,19,9,6,93.14,6.86,3.25,2.17
2024-08-10,268,14912.73,245,23,11,8,91.42,8.58,4.1,2.99
2024-08-11,278,15105.37,255,23,13,7,91.73,8.27,4.68,2.52
2024-08-12,290,15045.94,273,17,19,4,94.14,5.86,6.55,1.38
2024-08-13,246,12849.57,226,20,10,3,91.87,8.13,4.07,1.22
2024-08-14,260,14140.54,242,18,9,5,93.08,6.92,3.46,1.92
2024-08-15,276,15057.36,253,23,7,7,91.67,8.33,2.54,2.54
2024-08-16,286,14258.29,268,18,12,6,93.71,6.29,4.2,2.1
2024-08-17,290,16411.38,266,24,14,5,91.72,8.28,4.83,1.72
2024-08-18,293,15141.83,278,15,13,5,94.88,5.12,4.44,1.71
2024-08-19,263,15671.74,238,25,5,2,90.49,9.51,1.9,0.76
2024-08-20,257,14711.62,242,15,11,6,94.16,5.84,4.28,2.33
2024-08-21,271,14391.31,255,16,10,8,94.1,5.9,3.69,2.95
2024-08-22,262,14648.44,243,19,13,4,92.75,7.25,4.96,1.53
2024-08-23,281,16336.78,264,17,11,7,93.95,6.05,3.91,2.49
2024-08-24,283,15307.48,265,18,12,7,93.64,6.36,4.24,2.47
2024-08-25,260,14572.39,238,22,15,4,91.54,8.46,5.77,1.54
2024-08-26,277,15672.34,256,21,14,5,92.42,7.58,5.05,1.81
2024-08-27,260,12735.14,241,19,12,4,92.69,7.31,4.62,1.54
2024-08-28,250,12475.67,233,17,7,7,93.2,6.8,2.8,2.8
2024-08-29,257,15272.7,238,19,9,7,92.61,7.39,3.5,2.72
2024-08-30,276,19217.93,260,16,8,3,94.2,5.8,2.9,1.09
2024-08-31,241,14577.97,219,22,8,4,90.87,9.13,3.32,1.66
2024-09-01,276,14925.06,256,20,8,1,92.75,7.25,2.9,0.36
2024-09-02,274,16765.01,239,35,15,10,87.23,12.77,5.47,3.65
2024-09-03,269,14310.49,242,27,14,5,89.96,10.04,5.2,1.86
2024-09-04,252,12589.47,230,22,8,3,91.27,8.73,3.17,1.19
2024-09-05,257,15030.56,237,20,8,4,92.22,7.78,3.11,1.56
2024-09-06,288,16740.37,268,20,14,6,93.06,6.94,4.86,2.08
2024-09-07,277,13704.4,261,16,9,8,94.22,5.78,3.25,2.89
2024-09-08,274,14542.78,253,21,12,4,92.34,7.66,4.38,1.46
2024-09-09,285,14400.43,263,22,12,6,92.28,7.72,4.21,2.11
2024-09-10,275,13858.58,250,25,10,5,90.91,9.09,3.64,1.82
2024-09-11,272,15664.66,244,28,6,5,89.71,10.29,2.21,1.84
2024-09-12,285,14953.83,264,21,10,7,92.63,7.37,3.51,2.46
2024-09-13,274,13056.68,254,20,12,11,92.7,7.3,4.38,4.01
2024-09-14,262,14142.7,240,22,10,6,91.6,8.4,3.82,2.29
2024-09-15,293,19877.1,270,23,14,5,92.15,7.85,4.78,1.71
2024-09-16,279,14810.43,263,16,4,3,94.27,5.73,1.43,1.08
2024-09-17,260,15025.67,240,20,8,6,92.31,7.69,3.08,2.31
2024-09-18,289,14788.25,271,18,12,13,93.77,6.23,4.15,4.5
2024-09-19,281,14350.59,264,17,15,6,93.95,6.05,5.34,2.14
2024-09-20,299,15359.33,274,25,13,3,91.64,8.36,4.35,1.0
2024-09-21,276,16420.04,264,12,11,5,95.65,4.35,3.99,1.81
2024-09-22,264,14318.45,238,26,14,6,90.15,9.85,5.3,2.27
2024-09-23,269,14395.66,249,20,16,3,92.57,7.43,5.95,1.12
2024-09-24,271,13556.82,249,22,8,7,91.88,8.12,2.95,2.58
2024-09-25,261,16307.31,244,17,16,6,93.49,6.51,6.13,2.3
2024-09-26,287,16105.95,270,17,13,5,94.08,5.92,4.53,1.74
2024-09-27,269,13743.85,249,20,12,7,92.57,7.43,4.46,2.6
2024-09-28,300,16865.32,280,20,9,8,93.33,6.67,3.0,2.67
2024-09-29,262,14959.42,248,14,5,9,94.66,5.34,1.91,3.44
2024-09-30,284,15271.7,260,24,8,5,91.55,8.45,2.82,1.76
2024-10-01,256,14392.25,236,20,11,3,92.19,7.81,4.3,1.17
2024-10-02,267,13900.05,251,16,14,7,94.01,5.99,5.24,2.62
2024-10-03,288,14624.86,272,16,9,5,94.44,5.56,3.13,1.74
2024-10-04,259,13568.0,237,22,7,3,91.51,8.49,2.7,1.16
2024-10-05,246,12957.65,236,10,10,6,95.93,4.07,4.07,2.44
2024-10-06,260,16313.05,241,19,6,0,92.69,7.31,2.31,0.0
2024-10-07,266,14481.83,240,26,14,5,90.23,9.77,5.26,1.88
2024-10-08,283,14763.11,259,24,7,9,91.52,8.48,2.47,3.18
2024-10-09,296,15833.32,276,20,13,4,93.24,6.76,4.39,1.35
2024-10-10,290,17187.96,268,22,8,8,92.41,7.59,2.76,2.76
2024-10-11,277,16469.44,257,20,6,7,92.78,7.22,2.17,2.53
2024-10-12,229,11783.32,216,13,9,3,94.32,5.68,3.93,1.31
2024-10-13,264,16022.08,237,27,5,2,89.77,10.23,1.89,0.76
2024-10-14,280,14912.8,257,23,17,4,91.79,8.21,6.07,1.43
2024-10-15,261,12713.73,233,28,6,2,89.27,10.73,2.3,0.77
2024-10-16,302,17540.36,278,24,16,11,92.05,7.95,5.3,3.64
2024-10-17,300,16599.12,273,27,9,5,91.0,9.0,3.0,1.67
2024-10-18,250,14275.26,237,13,9,7,94.8,5.2,3.6,2.8
2024-10-19,283,16353.11,259,24,11,5,91.52,8.48,3.89,1.77
2024-10-20,257,14561.12,233,24,14,2,90.66,9.34,5.45,0.78
2024-10-21,282,14656.83,261,21,12,9,92.55,7.45,4.26,3.19
2024-10-22,281,13745.69,254,27,19,6,90.39,9.61,6.76,2.14
2024-10-23,285,15725.71,261,24,12,6,91.58,8.42,4.21,2.11
2024-10-24,272,14402.32,252,20,10,2,92.65,7.35,3.68,0.74
2024-10-25,265,14296.46,251,14,6,5,94.72,5.28,2.26,1.89
2024-10-26,268,13845.74,244,24,8,6,91.04,8.96,2.99,2.24
2024-10-27,298,16486.95,279,19,10,10,93.62,6.38,3.36,3.36
2024-10-28,266,15415.63,238,28,7,3,89.47,10.53,2.63,1.13
2024-10-29,251,13071.18,226,25,5,2,90.04,9.96,1.99,0.8
2024-10-30,254,13855.89,236,18,15,4,92.91,7.09,5.91,1.57
2024-10-31,265,14900.51,240,25,6,5,90.57,9.43,2.26,1.89
2024-11-01,271,15779.63,243,28,7,5,89.67,10.33,2.58,1.85
2024-11-02,240,15169.42,220,20,7,4,91.67,8.33,2.92,1.67
2024-11-03,244,14294.62,224,20,5,5,91.8,8.2,2.05,2.05
2024-11-04,292,15712.24,269,23,10,4,92.12,7.88,3.42,1.37
2024-11-05,274,13739.35,251,23,8,7,91.61,8.39,2.92,2.55
2024-11-06,269,14764.0,249,20,12,7,92.57,7.43,4.46,2.6
2024-11-07,293,16531.35,275,18,13,6,93.86,6.14,4.44,2.05
2024-11-08,253,13641.92,231,22,5,4,91.3,8.7,1.98,1.58
2024-11-09,275,15508.34,256,19,7,5,93.09,6.91,2.55,1.82
2024-11-10,289,15848.59,272,17,11,7,94.12,5.88,3.81,2.42
2024-11-11,274,16549.36,249,25,8,2,90.88,9.12,2.92,0.73
2024-11-12,265,13019.79,251,14,13,4,94.72,5.28,4.91,1.51
2024-11-13,276,15640.31,256,20,13,9,92.75,7.25,4.71,3.26
2024-11-14,271,14986.01,249,22,13,12,91.88,8.12,4.8,4.43
2024-11-15,293,16502.68,269,24,10,4,91.81,8.19,3.41,1.37
2024-11-16,279,15216.44,261,18,14,5,93.55,6.45,5.02,1.79
2024-11-17,264,14196.38,238,26,14,6,90.15,9.85,5.3,2.27
2024-11-18,272,15294.91,259,13,15,9,95.22,4.78,5.51,3.31
2024-11-19,278,16014.04,253,25,12,7,91.01,8.99,4.32,2.52
2024-11-20,288,16529.12,269,19,10,2,93.4,6.6,3.47,0.69
2024-11-21,275,15763.74,258,17,11,7,93.82,6.18,4.0,2.55
2024-11-22,297,15549.92,271,26,12,5,91.25,8.75,4.04,1.68
2024-11-23,299,16476.23,275,24,7,10,91.97,8.03,2.34,3.34
2024-11-24,237,12573.14,223,14,10,5,94.09,5.91,4.22,2.11
2024-11-25,270,13689.1,258,12,7,8,95.56,4.44,2.59,2.96
2024-11-26,302,16799.47,282,20,10,5,93.38,6.62,3.31,1.66
2024-11-27,265,14153.9,245,20,10,6,92.45,7.55,3.77,2.26
2024-11-28,278,16358.01,259,19,19,2,93.17,6.83,6.83,0.72
2024-11-29,277,15788.05,263,14,12,9,94.95,5.05,4.33,3.25
2024-11-30,291,15466.73,271,20,12,6,93.13,6.87,4.12,2.06
2024-12-01,285,15029.3,263,22,13,6,92.28,7.72,4.56,2.11
2024-12-02,263,14790.57,239,24,13,5,90.87,9.13,4.94,1.9
2024-12-03,279,16873.37,249,30,12,5,89.25,10.75,4.3,1.79
2024-12-04,282,15854.62,259,23,15,3,91.84,8.16,5.32,1.06
2024-12-05,282,16581.4,260,22,18,11,92.2,7.8,6.38,3.9
2024-12-06,267,13842.66,238,29,10,3,89.14,10.86,3.75,1.12
2024-12-07,285,15994.92,262,23,9,5,91.93,8.07,3.16,1.75
2024-12-08,299,16945.5,275,24,7,3,91.97,8.03,2.34,1.0
2024-12-09,272,15347.31,243,29,10,3,89.34,10.66,3.68,1.1
2024-12-10,263,12777.11,244,19,12,9,92.78,7.22,4.56,3.42
2024-12-11,266,14039.72,242,24,10,3,90.98,9.02,3.76,1.13
2024-12-12,270,15385.01,247,23,16,5,91.48,8.52,5.93,1.85
2024-12-13,281,15581.7,261,20,13,3,92.88,7.12,4.63,1.07
2024-12-14,255,13982.3,226,29,14,10,88.63,11.37,5.49,3.92
2024-12-15,285,16380.34,267,18,10,9,93.68,6.32,3.51,3.16
2024-12-16,250,13791.57,228,22,15,4,91.2,8.8,6.0,1.6
2024-12-17,275,14549.99,257,18,11,9,93.45,6.55,4.0,3.27
2024-12-18,254,13446.28,229,25,14,5,90.16,9.84,5.51,1.97
2024-12-19,276,15143.67,255,21,10,4,92.39,7.61,3.62,1.45
2024-12-20,292,13658.78,276,16,10,5,94.52,5.48,3.42,1.71
2024-12-21,275,15008.78,255,20,10,4,92.73,7.27,3.64,1.45
2024-12-22,262,14343.01,234,28,7,4,89.31,10.69,2.67,1.53
2024-12-23,261,12973.81,233,28,9,2,89.27,10.73,3.45,0.77
2024-12-24,282,15051.45,262,20,11,10,92.91,7.09,3.9,3.55
2024-12-25,295,16414.7,272,23,14,3,92.2,7.8,4.75,1.02
2024-12-26,254,13469.46,231,23,14,6,90.94,9.06,5.51,2.36
2024-12-27,256,14307.59,240,16,9,5,93.75,6.25,3.52,1.95
2024-12-28,288,17198.83,266,22,12,5,92.36,7.64,4.17,1.74
