merchant_id,merchant_category,total_transactions,total_payment_volume,avg_transaction_amount,failed_transactions,fraud_transactions,chargeback_transactions,failure_rate_pct,fraud_rate_pct,chargeback_rate_pct,merchant_risk_level
MERCH00790,Restaurant,22,1221.11,55.5,0,2,2,0.0,9.09,9.09,High Risk
MERCH00625,Grocery,22,911.04,41.41,1,2,2,4.55,9.09,9.09,High Risk
MERCH00791,Restaurant,22,1110.34,50.47,3,2,1,13.64,9.09,4.55,High Risk
MERCH00757,Retail,22,935.23,42.51,2,2,1,9.09,9.09,4.55,High Risk
MERCH00740,Restaurant,22,1448.9,65.86,1,2,1,4.55,9.09,4.55,High Risk
MERCH00616,Retail,22,1381.75,62.81,1,2,1,4.55,9.09,4.55,High Risk
MERCH00591,Retail,22,741.06,33.68,1,2,1,4.55,9.09,4.55,High Risk
MERCH00328,Grocery,22,973.68,44.26,0,2,1,0.0,9.09,4.55,High Risk
MERCH00287,Retail,22,1388.45,63.11,2,2,1,9.09,9.09,4.55,High Risk
MERCH00226,Restaurant,22,1246.17,56.64,3,2,1,13.64,9.09,4.55,High Risk
MERCH00216,Restaurant,22,772.64,35.12,4,2,1,18.18,9.09,4.55,High Risk
MERCH00124,Retail,22,1512.99,68.77,3,2,1,13.64,9.09,4.55,High Risk
MERCH00091,Retail,22,1300.92,59.13,1,2,1,4.55,9.09,4.55,High Risk
MERCH00697,Retail,22,1388.76,63.13,0,2,0,0.0,9.09,0.0,High Risk
MERCH00661,Retail,22,1173.54,53.34,3,2,0,13.64,9.09,0.0,High Risk
MERCH00634,Retail,22,755.39,34.34,1,2,0,4.55,9.09,0.0,High Risk
MERCH00597,Travel,22,1319.74,59.99,3,2,0,13.64,9.09,0.0,High Risk
MERCH00565,Restaurant,22,1395.03,63.41,2,2,0,9.09,9.09,0.0,High Risk
MERCH00191,Grocery,22,1114.45,50.66,1,2,0,4.55,9.09,0.0,High Risk
MERCH00099,Restaurant,22,1187.39,53.97,0,2,0,0.0,9.09,0.0,High Risk
MERCH00241,Retail,23,1184.42,51.5,1,2,2,4.35,8.7,8.7,High Risk
MERCH00759,Retail,23,1290.85,56.12,1,2,1,4.35,8.7,4.35,High Risk
MERCH00673,Restaurant,23,1133.33,49.28,3,2,1,13.04,8.7,4.35,High Risk
MERCH00598,Fuel,23,1209.04,52.57,0,2,1,0.0,8.7,4.35,High Risk
MERCH00474,Restaurant,23,1415.91,61.56,2,2,1,8.7,8.7,4.35,High Risk
MERCH00345,Restaurant,23,1124.6,48.9,0,2,1,0.0,8.7,4.35,High Risk
MERCH00160,Retail,23,1149.82,49.99,3,2,1,13.04,8.7,4.35,High Risk
MERCH00083,Retail,23,849.7,36.94,2,2,1,8.7,8.7,4.35,High Risk
MERCH00765,Retail,23,1168.8,50.82,2,2,0,8.7,8.7,0.0,High Risk
MERCH00756,Grocery,23,860.74,37.42,1,2,0,4.35,8.7,0.0,High Risk
MERCH00659,Retail,23,1217.32,52.93,0,2,0,0.0,8.7,0.0,High Risk
MERCH00557,Retail,23,1950.92,84.82,2,2,0,8.7,8.7,0.0,High Risk
MERCH00528,Restaurant,23,1290.49,56.11,2,2,0,8.7,8.7,0.0,High Risk
MERCH00400,Grocery,23,1482.21,64.44,1,2,0,4.35,8.7,0.0,High Risk
MERCH00260,Retail,23,877.29,38.14,3,2,0,13.04,8.7,0.0,High Risk
MERCH00174,Retail,23,1878.48,81.67,0,2,0,0.0,8.7,0.0,High Risk
MERCH00087,Retail,23,1451.33,63.1,1,2,0,4.35,8.7,0.0,High Risk
MERCH00738,Retail,24,1134.75,47.28,1,2,1,4.17,8.33,4.17,High Risk
MERCH00507,Retail,24,1344.09,56.0,0,2,1,0.0,8.33,4.17,High Risk
MERCH00488,Restaurant,24,1343.44,55.98,0,2,1,0.0,8.33,4.17,High Risk
MERCH00270,Retail,24,1665.91,69.41,2,2,1,8.33,8.33,4.17,High Risk
MERCH00147,Retail,24,1125.41,46.89,2,2,1,8.33,8.33,4.17,High Risk
MERCH00062,Retail,24,1575.12,65.63,1,2,1,4.17,8.33,4.17,High Risk
MERCH00779,Retail,24,1091.53,45.48,0,2,0,0.0,8.33,0.0,High Risk
MERCH00754,Retail,24,1107.03,46.13,1,2,0,4.17,8.33,0.0,High Risk
MERCH00706,Retail,24,1252.27,52.18,2,2,0,8.33,8.33,0.0,High Risk
MERCH00493,Retail,24,1228.19,51.17,3,2,0,12.5,8.33,0.0,High Risk
MERCH00294,Retail,24,1995.13,83.13,2,2,0,8.33,8.33,0.0,High Risk
MERCH00180,Restaurant,24,1722.15,71.76,1,2,0,4.17,8.33,0.0,High Risk
MERCH00111,Retail,24,1253.91,52.25,3,2,0,12.5,8.33,0.0,High Risk
MERCH00682,Restaurant,25,1689.34,67.57,0,2,2,0.0,8.0,8.0,High Risk
MERCH00041,Retail,25,1145.83,45.83,0,2,2,0.0,8.0,8.0,High Risk
MERCH00690,Retail,25,1256.45,50.26,2,2,1,8.0,8.0,4.0,High Risk
MERCH00656,Retail,25,1366.31,54.65,2,2,1,8.0,8.0,4.0,High Risk
MERCH00550,Retail,25,1257.47,50.3,1,2,1,4.0,8.0,4.0,High Risk
MERCH00208,Retail,25,1587.69,63.51,2,2,1,8.0,8.0,4.0,High Risk
MERCH00176,Retail,25,818.01,32.72,1,2,1,4.0,8.0,4.0,High Risk
MERCH00052,Retail,25,1206.14,48.25,1,2,1,4.0,8.0,4.0,High Risk
MERCH00479,Restaurant,25,1246.99,49.88,1,2,0,4.0,8.0,0.0,High Risk
MERCH00430,Restaurant,25,1038.1,41.52,3,2,0,12.0,8.0,0.0,High Risk
MERCH00310,Retail,25,1837.85,73.51,2,2,0,8.0,8.0,0.0,High Risk
MERCH00749,Restaurant,26,1312.98,50.5,3,2,2,11.54,7.69,7.69,High Risk
MERCH00461,Retail,26,1314.66,50.56,3,2,2,11.54,7.69,7.69,High Risk
MERCH00327,Grocery,26,922.95,35.5,3,2,1,11.54,7.69,3.85,Medium Risk
MERCH00314,Grocery,26,1754.88,67.5,1,2,1,3.85,7.69,3.85,Medium Risk
MERCH00002,Retail,26,1279.36,49.21,2,2,1,7.69,7.69,3.85,Medium Risk
MERCH00799,Retail,26,1224.37,47.09,0,2,0,0.0,7.69,0.0,Medium Risk
MERCH00538,Retail,26,1698.36,65.32,3,2,0,11.54,7.69,0.0,Medium Risk
MERCH00479,Grocery,26,1226.73,47.18,0,2,0,0.0,7.69,0.0,Medium Risk
MERCH00355,Grocery,26,1787.11,68.73,2,2,0,7.69,7.69,0.0,Medium Risk
MERCH00182,Grocery,26,969.55,37.29,3,2,0,11.54,7.69,0.0,Medium Risk
MERCH00042,Retail,26,1122.77,43.18,2,2,0,7.69,7.69,0.0,Medium Risk
MERCH00763,Retail,27,1414.99,52.41,1,2,1,3.7,7.41,3.7,Medium Risk
MERCH00367,Retail,27,1529.24,56.64,1,2,1,3.7,7.41,3.7,Medium Risk
MERCH00240,Retail,27,1517.36,56.2,2,2,1,7.41,7.41,3.7,Medium Risk
MERCH00026,Retail,27,1083.82,40.14,1,2,1,3.7,7.41,3.7,Medium Risk
MERCH00783,Retail,27,2399.61,88.87,1,2,0,3.7,7.41,0.0,Medium Risk
MERCH00720,Restaurant,27,2720.26,100.75,3,2,0,11.11,7.41,0.0,Medium Risk
MERCH00515,Retail,27,1281.98,47.48,4,2,0,14.81,7.41,0.0,Medium Risk
MERCH00463,Retail,27,1458.92,54.03,2,2,0,7.41,7.41,0.0,Medium Risk
MERCH00143,Grocery,27,1507.1,55.82,3,2,0,11.11,7.41,0.0,Medium Risk
MERCH00039,Grocery,27,1270.88,47.07,3,2,0,11.11,7.41,0.0,Medium Risk
MERCH00544,Restaurant,28,1239.04,44.25,3,2,1,10.71,7.14,3.57,Medium Risk
MERCH00526,Grocery,28,1803.78,64.42,2,2,1,7.14,7.14,3.57,Medium Risk
MERCH00556,Retail,28,1722.07,61.5,3,2,0,10.71,7.14,0.0,Medium Risk
MERCH00255,Retail,28,1375.5,49.13,0,2,0,0.0,7.14,0.0,Medium Risk
MERCH00049,Restaurant,28,1124.5,40.16,3,2,0,10.71,7.14,0.0,Medium Risk
MERCH00268,Retail,29,1349.39,46.53,3,2,2,10.34,6.9,6.9,High Risk
MERCH00628,Retail,29,2183.85,75.31,2,2,1,6.9,6.9,3.45,Medium Risk
MERCH00574,Retail,29,2127.36,73.36,3,2,1,10.34,6.9,3.45,Medium Risk
MERCH00035,Grocery,29,1548.5,53.4,3,2,1,10.34,6.9,3.45,Medium Risk
MERCH00760,Retail,29,1736.46,59.88,1,2,0,3.45,6.9,0.0,Medium Risk
MERCH00495,Retail,29,1213.8,41.86,3,2,0,10.34,6.9,0.0,Medium Risk
MERCH00038,Retail,29,1683.16,58.04,0,2,0,0.0,6.9,0.0,Medium Risk
MERCH00679,Retail,30,2750.64,91.69,3,2,3,10.0,6.67,10.0,High Risk
MERCH00117,Retail,30,1347.44,44.91,4,2,2,13.33,6.67,6.67,High Risk
MERCH00620,Retail,30,1513.7,50.46,2,2,1,6.67,6.67,3.33,Medium Risk
MERCH00312,Retail,30,1845.55,61.52,0,2,1,0.0,6.67,3.33,Medium Risk
MERCH00256,Retail,30,1148.06,38.27,1,2,1,3.33,6.67,3.33,Medium Risk
MERCH00510,Retail,30,1381.76,46.06,3,2,0,10.0,6.67,0.0,Medium Risk
MERCH00274,Retail,30,1333.61,44.45,4,2,0,13.33,6.67,0.0,Medium Risk
MERCH00102,Retail,30,1507.2,50.24,5,2,0,16.67,6.67,0.0,High Risk
MERCH00689,Retail,31,1406.81,45.38,3,2,1,9.68,6.45,3.23,Medium Risk
MERCH00371,Retail,31,1437.89,46.38,4,2,0,12.9,6.45,0.0,Medium Risk
MERCH00269,Retail,31,1525.5,49.21,1,2,0,3.23,6.45,0.0,Medium Risk
MERCH00253,Retail,31,1480.03,47.74,1,2,0,3.23,6.45,0.0,Medium Risk
MERCH00619,Retail,32,1589.02,49.66,4,2,0,12.5,6.25,0.0,Medium Risk
MERCH00146,Retail,32,2888.67,90.27,3,2,0,9.38,6.25,0.0,Medium Risk
MERCH00549,Retail,34,1751.72,51.52,4,2,0,11.76,5.88,0.0,Medium Risk
MERCH00674,Retail,37,2318.62,62.67,5,2,2,13.51,5.41,5.41,High Risk
MERCH00090,Retail,38,1992.31,52.43,0,2,2,0.0,5.26,5.26,High Risk
MERCH00383,Restaurant,20,792.06,39.6,0,1,2,0.0,5.0,10.0,High Risk
MERCH00316,Grocery,20,795.71,39.79,1,1,2,5.0,5.0,10.0,High Risk
MERCH00181,Electronics,20,523.02,26.15,0,1,2,0.0,5.0,10.0,High Risk
MERCH00717,Grocery,20,1055.78,52.79,1,1,1,5.0,5.0,5.0,High Risk
MERCH00688,Retail,20,1073.39,53.67,3,1,1,15.0,5.0,5.0,High Risk
MERCH00680,Retail,20,908.47,45.42,1,1,1,5.0,5.0,5.0,High Risk
MERCH00652,Restaurant,20,950.45,47.52,1,1,1,5.0,5.0,5.0,High Risk
MERCH00576,Restaurant,20,1310.84,65.54,1,1,1,5.0,5.0,5.0,High Risk
MERCH00552,Restaurant,20,887.04,44.35,1,1,1,5.0,5.0,5.0,High Risk
MERCH00499,Fuel,20,841.3,42.06,4,1,1,20.0,5.0,5.0,High Risk
MERCH00456,Retail,20,1140.2,57.01,1,1,1,5.0,5.0,5.0,High Risk
MERCH00339,Retail,20,1198.09,59.9,2,1,1,10.0,5.0,5.0,High Risk
MERCH00310,Grocery,20,1095.57,54.78,0,1,1,0.0,5.0,5.0,High Risk
MERCH00281,Restaurant,20,1107.62,55.38,2,1,1,10.0,5.0,5.0,High Risk
MERCH00206,Retail,20,1482.03,74.1,1,1,1,5.0,5.0,5.0,High Risk
MERCH00128,Restaurant,20,866.74,43.34,2,1,1,10.0,5.0,5.0,High Risk
MERCH00112,Grocery,20,1119.41,55.97,1,1,1,5.0,5.0,5.0,High Risk
MERCH00101,Grocery,20,785.64,39.28,1,1,1,5.0,5.0,5.0,High Risk
MERCH00022,Retail,20,1062.92,53.15,2,1,1,10.0,5.0,5.0,High Risk
MERCH00020,Restaurant,20,1425.36,71.27,1,1,1,5.0,5.0,5.0,High Risk
MERCH00794,Fuel,20,1078.99,53.95,1,1,0,5.0,5.0,0.0,Medium Risk
MERCH00758,Restaurant,20,1019.92,51.0,0,1,0,0.0,5.0,0.0,Medium Risk
MERCH00684,Grocery,20,823.57,41.18,1,1,0,5.0,5.0,0.0,Medium Risk
MERCH00679,Grocery,20,1090.11,54.51,0,1,0,0.0,5.0,0.0,Medium Risk
MERCH00665,Retail,20,1102.63,55.13,2,1,0,10.0,5.0,0.0,Medium Risk
MERCH00654,Restaurant,20,1069.56,53.48,1,1,0,5.0,5.0,0.0,Medium Risk
MERCH00608,Grocery,20,842.58,42.13,1,1,0,5.0,5.0,0.0,Medium Risk
MERCH00474,Grocery,20,770.56,38.53,4,1,0,20.0,5.0,0.0,High Risk
MERCH00449,Retail,20,969.01,48.45,5,1,0,25.0,5.0,0.0,High Risk
MERCH00387,Retail,20,1152.91,57.65,2,1,0,10.0,5.0,0.0,Medium Risk
MERCH00380,Retail,20,968.64,48.43,0,1,0,0.0,5.0,0.0,Medium Risk
MERCH00366,Restaurant,20,917.07,45.85,2,1,0,10.0,5.0,0.0,Medium Risk
MERCH00360,Restaurant,20,1020.1,51.01,2,1,0,10.0,5.0,0.0,Medium Risk
MERCH00331,Grocery,20,1561.04,78.05,2,1,0,10.0,5.0,0.0,Medium Risk
MERCH00326,Restaurant,20,1130.29,56.51,1,1,0,5.0,5.0,0.0,Medium Risk
MERCH00313,Grocery,20,769.24,38.46,2,1,0,10.0,5.0,0.0,Medium Risk
MERCH00311,Grocery,20,1476.85,73.84,2,1,0,10.0,5.0,0.0,Medium Risk
MERCH00296,Retail,20,1845.69,92.28,3,1,0,15.0,5.0,0.0,High Risk
MERCH00295,Retail,20,1126.6,56.33,1,1,0,5.0,5.0,0.0,Medium Risk
MERCH00285,Retail,20,1233.37,61.67,0,1,0,0.0,5.0,0.0,Medium Risk
MERCH00282,Grocery,20,990.19,49.51,1,1,0,5.0,5.0,0.0,Medium Risk
MERCH00265,Retail,20,961.41,48.07,0,1,0,0.0,5.0,0.0,Medium Risk
MERCH00257,Restaurant,20,949.33,47.47,2,1,0,10.0,5.0,0.0,Medium Risk
MERCH00252,Grocery,20,1168.13,58.41,0,1,0,0.0,5.0,0.0,Medium Risk
MERCH00233,Restaurant,20,1139.67,56.98,2,1,0,10.0,5.0,0.0,Medium Risk
MERCH00227,Grocery,20,1643.94,82.2,2,1,0,10.0,5.0,0.0,Medium Risk
MERCH00178,Fuel,20,1031.62,51.58,2,1,0,10.0,5.0,0.0,Medium Risk
MERCH00157,Retail,20,1384.26,69.21,1,1,0,5.0,5.0,0.0,Medium Risk
MERCH00154,Grocery,20,1318.85,65.94,0,1,0,0.0,5.0,0.0,Medium Risk
MERCH00145,Restaurant,20,1253.01,62.65,1,1,0,5.0,5.0,0.0,Medium Risk
MERCH00135,Grocery,20,1064.92,53.25,0,1,0,0.0,5.0,0.0,Medium Risk
MERCH00129,Retail,20,1382.44,69.12,2,1,0,10.0,5.0,0.0,Medium Risk
MERCH00104,Restaurant,20,1212.83,60.64,2,1,0,10.0,5.0,0.0,Medium Risk
MERCH00090,Grocery,20,1417.84,70.89,2,1,0,10.0,5.0,0.0,Medium Risk
MERCH00089,Restaurant,20,924.15,46.21,1,1,0,5.0,5.0,0.0,Medium Risk
MERCH00079,Retail,20,1494.75,74.74,3,1,0,15.0,5.0,0.0,High Risk
MERCH00065,Restaurant,20,799.95,40.0,1,1,0,5.0,5.0,0.0,Medium Risk
MERCH00788,Retail,21,1234.31,58.78,2,1,2,9.52,4.76,9.52,High Risk
MERCH00660,Healthcare,21,833.41,39.69,2,1,2,9.52,4.76,9.52,High Risk
MERCH00046,Retail,21,903.23,43.01,0,1,2,0.0,4.76,9.52,High Risk
MERCH00795,Retail,21,1766.47,84.12,0,1,1,0.0,4.76,4.76,High Risk
MERCH00775,Retail,21,1092.46,52.02,0,1,1,0.0,4.76,4.76,High Risk
MERCH00766,Grocery,21,1230.48,58.59,3,1,1,14.29,4.76,4.76,High Risk
MERCH00516,Restaurant,21,1352.91,64.42,0,1,1,0.0,4.76,4.76,High Risk
MERCH00504,Grocery,21,1960.49,93.36,1,1,1,4.76,4.76,4.76,High Risk
MERCH00486,Restaurant,21,1439.04,68.53,3,1,1,14.29,4.76,4.76,High Risk
MERCH00475,Retail,21,1026.31,48.87,2,1,1,9.52,4.76,4.76,High Risk
MERCH00458,Retail,21,1229.46,58.55,0,1,1,0.0,4.76,4.76,High Risk
MERCH00384,Grocery,21,1026.76,48.89,0,1,1,0.0,4.76,4.76,High Risk
MERCH00361,Grocery,21,1104.37,52.59,1,1,1,4.76,4.76,4.76,High Risk
MERCH00184,Retail,21,809.87,38.57,1,1,1,4.76,4.76,4.76,High Risk
MERCH00152,Grocery,21,1114.41,53.07,0,1,1,0.0,4.76,4.76,High Risk
MERCH00151,Restaurant,21,774.8,36.9,1,1,1,4.76,4.76,4.76,High Risk
MERCH00134,Grocery,21,1351.98,64.38,2,1,1,9.52,4.76,4.76,High Risk
MERCH00115,Grocery,21,1259.09,59.96,2,1,1,9.52,4.76,4.76,High Risk
MERCH00084,Grocery,21,1219.56,58.07,0,1,1,0.0,4.76,4.76,High Risk
MERCH00053,Fuel,21,1328.29,63.25,1,1,1,4.76,4.76,4.76,High Risk
MERCH00006,Retail,21,818.33,38.97,1,1,1,4.76,4.76,4.76,High Risk
MERCH00799,Fuel,21,655.86,31.23,3,1,0,14.29,4.76,0.0,Medium Risk
MERCH00735,Restaurant,21,1470.27,70.01,1,1,0,4.76,4.76,0.0,Low Risk
MERCH00694,Grocery,21,830.17,39.53,1,1,0,4.76,4.76,0.0,Low Risk
MERCH00670,Retail,21,1696.37,80.78,2,1,0,9.52,4.76,0.0,Low Risk
MERCH00661,Restaurant,21,745.38,35.49,2,1,0,9.52,4.76,0.0,Low Risk
MERCH00617,Restaurant,21,907.9,43.23,4,1,0,19.05,4.76,0.0,High Risk
MERCH00597,Grocery,21,918.54,43.74,1,1,0,4.76,4.76,0.0,Low Risk
MERCH00581,Grocery,21,1448.68,68.98,1,1,0,4.76,4.76,0.0,Low Risk
MERCH00565,Retail,21,1185.43,56.45,1,1,0,4.76,4.76,0.0,Low Risk
MERCH00563,Fuel,21,1041.59,49.6,2,1,0,9.52,4.76,0.0,Low Risk
MERCH00519,Grocery,21,989.33,47.11,2,1,0,9.52,4.76,0.0,Low Risk
