transaction_id,customer_id,merchant_id,transaction_datetime,transaction_amount,payment_method,channel,device_type,merchant_category,customer_location,transaction_status,failure_reason,processor_response_ms,is_fraud,is_chargeback
TXN00045068,CUST008647,MERCH00761,2024-10-28 19:53:04,55.15,Credit Card,Online,Tablet,Retail,TX,Approved,None,121,0,0
TXN00057180,CUST002437,MERCH00464,2024-04-11 06:58:10,19.22,Credit Card,Online,Desktop,Retail,CA,Approved,None,588,0,0
TXN00098590,CUST000837,MERCH00491,2024-07-26 01:53:24,44.13,Digital Wallet,Online,Tablet,Retail,PA,Approved,None,336,0,0
TXN00057369,CUST005911,MERCH00291,2024-08-20 16:00:36,6.13,Credit Card,In-Store,POS Terminal,Subscription,NV,Approved,None,635,0,0
TXN00089529,CUST008513,MERCH00452,2024-03-06 10:06:58,12.83,ACH,Online,Mobile,Electronics,OH,Approved,None,559,0,0
TXN00096843,CUST000497,MERCH00433,2024-08-16 01:12:04,68.27,ACH,Online,Mobile,Restaurant,CA,Approved,None,577,0,0
TXN00029827,CUST005741,MERCH00555,2024-10-13 20:10:23,360.07,Debit Card,In-Store,Mobile,Retail,WA,Approved,None,340,0,0
TXN00016291,CUST011055,MERCH00351,2024-03-03 11:08:46,61.82,Credit Card,Online,Desktop,Financial Services,NC,Approved,None,737,0,0
TXN00047227,CUST000338,MERCH00722,2024-11-29 07:45:21,10.69,Credit Card,In-Store,Desktop,Healthcare,NY,Approved,None,291,0,0
TXN00093366,CUST004813,MERCH00765,2024-06-06 17:47:34,16.13,ACH,Mobile App,POS Terminal,Fuel,OR,Approved,None,140,0,0
TXN00040846,CUST010805,MERCH00534,2024-04-07 13:42:45,49.32,Credit Card,In-Store,Desktop,Fuel,WA,Approved,None,441,0,0
TXN00054664,CUST003103,MERCH00181,2024-06-13 00:41:47,21.94,Credit Card,In-Store,POS Terminal,Grocery,MA,Approved,None,319,0,0
TXN00085559,CUST007284,MERCH00270,2024-01-16 04:59:16,83.61,ACH,Online,Desktop,Retail,FL,Approved,None,94,0,1
TXN00092349,CUST002656,MERCH00714,2024-03-16 19:13:27,45.38,ACH,Mobile App,POS Terminal,Electronics,TX,Approved,None,638,0,0
TXN00082331,CUST001860,MERCH00213,2024-08-20 22:44:29,24.52,ACH,Online,Desktop,Fuel,NV,Approved,None,462,0,0
TXN00027859,CUST005851,MERCH00152,2024-01-20 17:42:18,76.33,Debit Card,Mobile App,POS Terminal,Financial Services,FL,Approved,None,409,0,0
TXN00087724,CUST007120,MERCH00459,2024-03-25 12:59:54,63.09,Debit Card,Online,Desktop,Grocery,AZ,Approved,None,570,0,0
TXN00075053,CUST004468,MERCH00142,2024-02-19 11:03:26,23.57,Debit Card,In-Store,Mobile,Grocery,AZ,Approved,None,696,0,0
TXN00099350,CUST006705,MERCH00423,2024-12-12 04:14:23,34.04,Credit Card,In-Store,Desktop,Travel,IL,Approved,None,528,0,0
TXN00075695,CUST008474,MERCH00581,2024-12-04 13:34:41,33.21,Credit Card,Mobile App,Mobile,Travel,PA,Approved,None,842,1,0
TXN00011857,CUST005515,MERCH00415,2024-04-03 07:17:27,31.47,Debit Card,Online,Desktop,Restaurant,AZ,Approved,None,590,0,0
TXN00042485,CUST006537,MERCH00751,2024-08-28 22:02:37,48.31,ACH,Online,Desktop,Travel,NV,Approved,None,688,0,0
TXN00027467,CUST005055,MERCH00597,2024-01-17 06:49:23,32.24,Credit Card,Online,Tablet,Restaurant,TX,Approved,None,377,0,0
TXN00078217,CUST007986,MERCH00730,2024-02-24 19:48:19,92.46,Credit Card,Mobile App,POS Terminal,Healthcare,NV,Approved,None,620,0,0
TXN00054345,CUST010797,MERCH00770,2024-03-20 07:47:16,61.62,Credit Card,Online,Tablet,Subscription,CO,Approved,None,221,0,0
TXN00054833,CUST003136,MERCH00243,2024-07-02 18:08:29,44.12,Credit Card,Mobile App,POS Terminal,Entertainment,GA,Approved,None,319,0,0
TXN00097781,CUST009607,MERCH00787,2024-01-19 12:25:15,38.08,Credit Card,Online,Desktop,Travel,PA,Approved,None,438,0,0
TXN00047421,CUST003589,MERCH00388,2024-08-22 18:37:25,46.47,Credit Card,Online,Mobile,Retail,WA,Approved,None,576,0,0
TXN00036039,CUST009601,MERCH00259,2024-05-03 19:06:26,23.19,Credit Card,In-Store,Mobile,Grocery,AZ,Approved,None,562,0,0
TXN00040650,CUST005233,MERCH00097,2024-09-29 09:57:14,27.89,Debit Card,Mobile App,POS Terminal,Entertainment,PA,Approved,None,151,0,0
TXN00063051,CUST008972,MERCH00255,2024-07-08 09:25:08,49.7,Debit Card,Mobile App,Mobile,Travel,MA,Failed,Processor Timeout,446,0,0
TXN00098103,CUST008911,MERCH00450,2024-09-17 06:17:04,51.41,Credit Card,Mobile App,Desktop,Entertainment,TX,Approved,None,394,0,0
TXN00089177,CUST002323,MERCH00510,2024-02-10 23:00:14,91.7,Credit Card,Mobile App,Tablet,Healthcare,PA,Approved,None,261,0,0
TXN00093842,CUST004191,MERCH00575,2024-06-17 22:47:41,46.47,Digital Wallet,In-Store,Desktop,Subscription,FL,Approved,None,540,0,0
TXN00081833,CUST009182,MERCH00083,2024-01-23 06:55:55,7.05,Digital Wallet,Online,Mobile,Healthcare,NV,Approved,None,407,1,0
TXN00098996,CUST010718,MERCH00236,2024-04-09 05:21:05,18.87,ACH,In-Store,Desktop,Retail,TX,Approved,None,596,0,0
TXN00029563,CUST005637,MERCH00657,2024-11-17 09:55:24,36.26,ACH,Online,Mobile,Retail,IL,Approved,None,274,0,0
TXN00013932,CUST010033,MERCH00578,2024-10-24 16:57:43,39.89,Digital Wallet,Online,POS Terminal,Subscription,OH,Approved,None,207,0,0
TXN00031092,CUST011124,MERCH00378,2024-10-23 07:46:51,23.69,ACH,Online,Mobile,Financial Services,CO,Approved,None,985,0,0
TXN00089345,CUST003338,MERCH00038,2024-06-19 19:13:09,148.24,Credit Card,Online,Desktop,Electronics,FL,Approved,None,607,0,0
TXN00074510,CUST008935,MERCH00751,2024-08-14 07:45:23,44.17,ACH,Mobile App,Mobile,Grocery,NV,Approved,None,614,0,0
TXN00005121,CUST007092,MERCH00660,2024-04-18 06:18:56,9.27,Credit Card,In-Store,Mobile,Subscription,NY,Approved,None,406,0,0
TXN00005041,CUST005902,MERCH00297,2024-05-21 11:09:06,19.24,ACH,Online,Desktop,Restaurant,CO,Approved,None,537,0,0
TXN00019762,CUST009916,MERCH00370,2024-02-10 23:16:40,115.26,Digital Wallet,Online,Mobile,Travel,AZ,Approved,None,296,0,0
TXN00079308,CUST011691,MERCH00121,2024-08-01 09:50:50,30.67,Debit Card,Mobile App,Mobile,Retail,WA,Approved,None,964,0,0
TXN00039139,CUST004154,MERCH00244,2024-06-03 22:26:05,201.32,Credit Card,Online,Mobile,Entertainment,NY,Approved,None,416,1,0
TXN00049937,CUST006573,MERCH00399,2024-01-25 18:17:14,13.02,Credit Card,Online,Desktop,Retail,NV,Approved,None,314,0,0
TXN00098289,CUST006869,MERCH00436,2024-08-12 14:07:42,18.89,Credit Card,Mobile App,POS Terminal,Healthcare,CO,Approved,None,622,0,0
TXN00001748,CUST006627,MERCH00500,2024-04-17 19:00:24,7.24,Credit Card,In-Store,Mobile,Electronics,FL,Approved,None,173,0,0
TXN00087127,CUST004328,MERCH00373,2024-03-12 08:04:49,9.05,Digital Wallet,Online,Mobile,Financial Services,GA,Approved,None,653,0,0
TXN00085800,CUST010684,MERCH00635,2024-11-11 18:01:03,12.42,Digital Wallet,In-Store,Tablet,Electronics,OR,Approved,None,468,0,0
TXN00065238,CUST007067,MERCH00213,2024-07-03 09:45:19,131.87,Debit Card,In-Store,Desktop,Restaurant,OH,Approved,None,581,0,0
TXN00080926,CUST007093,MERCH00420,2024-06-24 13:10:48,56.42,Digital Wallet,Online,Mobile,Restaurant,NV,Approved,None,675,0,0
TXN00085572,CUST002455,MERCH00145,2024-05-29 12:36:06,348.21,Debit Card,In-Store,Mobile,Restaurant,NY,Failed,Merchant Decline,530,0,0
TXN00039779,CUST005376,MERCH00691,2024-12-24 10:11:05,20.86,Debit Card,Online,Desktop,Financial Services,AZ,Approved,None,339,0,1
TXN00008769,CUST006945,MERCH00117,2024-05-25 05:01:26,21.18,Credit Card,In-Store,Desktop,Restaurant,CA,Approved,None,311,0,0
TXN00009435,CUST003508,MERCH00328,2024-01-31 13:57:46,40.31,Credit Card,Online,POS Terminal,Travel,CA,Approved,None,162,1,0
TXN00087942,CUST011133,MERCH00366,2024-12-14 02:21:19,21.27,Debit Card,Online,POS Terminal,Travel,OH,Approved,None,93,0,0
TXN00072924,CUST005556,MERCH00285,2024-01-19 23:59:30,150.13,Debit Card,Mobile App,POS Terminal,Retail,CO,Approved,None,558,0,0
TXN00076776,CUST004929,MERCH00200,2024-02-28 13:42:32,146.26,Debit Card,Online,Mobile,Financial Services,PA,Failed,Merchant Decline,356,0,0
TXN00014665,CUST003400,MERCH00338,2024-02-14 09:12:33,19.95,Credit Card,Online,Desktop,Travel,IL,Approved,None,167,0,0
TXN00014523,CUST004961,MERCH00098,2024-12-29 21:21:41,14.09,Digital Wallet,Mobile App,Desktop,Retail,CO,Approved,None,468,0,0
TXN00086659,CUST010300,MERCH00391,2024-12-11 22:57:36,24.19,Digital Wallet,Online,Mobile,Restaurant,IL,Approved,None,313,0,0
TXN00019708,CUST003156,MERCH00559,2024-07-02 14:54:42,22.84,Debit Card,Online,Mobile,Travel,CA,Approved,None,398,0,0
TXN00032189,CUST010743,MERCH00719,2024-04-19 11:09:17,67.33,Credit Card,Mobile App,Mobile,Retail,NC,Approved,None,510,0,0
TXN00092708,CUST003829,MERCH00413,2024-07-03 04:50:58,196.88,Credit Card,Online,Tablet,Financial Services,CA,Approved,None,659,0,0
TXN00078696,CUST000387,MERCH00560,2024-08-03 22:51:44,11.14,Digital Wallet,Online,Desktop,Entertainment,CO,Approved,None,690,0,0
TXN00015622,CUST011847,MERCH00121,2024-09-29 08:54:52,34.58,ACH,Mobile App,POS Terminal,Fuel,FL,Approved,None,546,1,0
TXN00086889,CUST000709,MERCH00800,2024-12-02 10:53:31,20.09,ACH,In-Store,Tablet,Restaurant,CA,Approved,None,260,0,0
TXN00000150,CUST007669,MERCH00587,2024-09-09 20:48:56,74.52,Credit Card,In-Store,Mobile,Restaurant,IL,Approved,None,580,0,0
TXN00050563,CUST001145,MERCH00016,2024-01-07 23:10:40,48.83,Credit Card,In-Store,Tablet,Electronics,TX,Approved,None,464,0,0
TXN00006323,CUST007378,MERCH00572,2024-08-07 03:58:46,24.13,Debit Card,Mobile App,POS Terminal,Fuel,NV,Approved,None,373,0,0
TXN00024252,CUST008425,MERCH00447,2024-03-04 12:12:31,19.76,Digital Wallet,In-Store,POS Terminal,Fuel,MA,Approved,None,601,0,0
TXN00085557,CUST010316,MERCH00315,2024-06-15 04:26:13,11.17,Credit Card,Mobile App,POS Terminal,Travel,AZ,Approved,None,405,0,0
TXN00012504,CUST008000,MERCH00187,2024-03-07 12:55:48,8.86,Debit Card,Mobile App,Desktop,Travel,MA,Approved,None,469,0,0
TXN00002528,CUST007781,MERCH00471,2024-06-24 00:22:19,22.92,Digital Wallet,In-Store,Desktop,Electronics,OR,Approved,None,287,0,0
TXN00060886,CUST001481,MERCH00089,2024-05-13 20:43:05,19.57,Credit Card,Mobile App,POS Terminal,Retail,NC,Failed,Merchant Decline,397,0,0
TXN00064247,CUST003689,MERCH00655,2024-04-17 23:04:04,60.85,Credit Card,Online,Desktop,Retail,OR,Approved,None,537,0,0
TXN00095049,CUST003994,MERCH00797,2024-06-10 11:43:10,89.0,Credit Card,Online,Mobile,Restaurant,WA,Approved,None,468,0,0
TXN00050918,CUST003090,MERCH00672,2024-09-23 21:38:06,10.25,Debit Card,Online,Tablet,Healthcare,CA,Approved,None,327,0,0
TXN00068361,CUST005817,MERCH00373,2024-11-20 07:16:27,51.34,Credit Card,Online,Mobile,Electronics,MA,Approved,None,643,0,0
TXN00050033,CUST004278,MERCH00370,2024-08-18 23:38:42,12.77,Digital Wallet,Online,Desktop,Travel,TX,Failed,Invalid Account,374,0,0
TXN00032835,CUST004165,MERCH00249,2024-10-23 00:03:56,26.45,Credit Card,In-Store,Desktop,Fuel,MA,Approved,None,464,0,0
TXN00066130,CUST011136,MERCH00725,2024-03-30 21:09:40,10.14,Credit Card,Online,Desktop,,IL,Approved,None,266,0,0
TXN00083450,CUST006124,MERCH00188,2024-12-12 13:04:54,127.53,ACH,Mobile App,Desktop,Grocery,CO,Approved,None,335,0,0
TXN00058121,CUST005065,MERCH00292,2024-09-06 09:58:01,43.17,Credit Card,In-Store,Mobile,Retail,AZ,Approved,None,670,0,0
TXN00076228,CUST004441,MERCH00223,2024-02-19 17:58:17,6.62,Digital Wallet,Online,Mobile,Retail,NY,Approved,None,609,0,0
TXN00005549,CUST004749,MERCH00314,2024-05-16 22:50:19,15.21,Credit Card,In-Store,Desktop,Electronics,TX,Approved,None,541,0,0
TXN00091848,CUST002959,MERCH00658,2024-08-06 19:19:44,20.7,Debit Card,In-Store,POS Terminal,Retail,GA,Approved,None,193,0,0
TXN00018572,CUST005984,MERCH00766,2024-12-07 03:42:00,125.72,Credit Card,Online,Desktop,Retail,OH,Approved,None,332,0,0
TXN00037018,CUST010505,MERCH00164,2024-03-31 12:24:45,30.12,Digital Wallet,In-Store,Mobile,Fuel,AZ,Approved,None,127,0,0
TXN00040238,CUST009555,MERCH00515,2024-05-27 00:24:14,16.45,Digital Wallet,In-Store,Tablet,Entertainment,GA,Approved,None,608,0,0
TXN00034574,CUST006224,MERCH00534,2024-05-01 18:14:09,38.36,Digital Wallet,In-Store,Desktop,Retail,NY,Approved,None,537,0,0
TXN00073413,CUST006678,MERCH00331,2024-02-17 02:46:41,9.15,Credit Card,In-Store,Mobile,Retail,CA,Approved,None,80,0,0
TXN00067541,CUST001672,MERCH00238,2024-06-12 07:42:38,6.83,Debit Card,In-Store,Mobile,Restaurant,OH,Approved,None,512,0,0
TXN00051901,CUST008740,MERCH00347,2024-02-09 21:08:14,95.18,Digital Wallet,In-Store,Desktop,Subscription,CO,Approved,None,347,0,0
TXN00072334,CUST006268,MERCH00725,2024-09-06 18:22:56,8.47,Debit Card,In-Store,Mobile,Financial Services,AZ,Approved,None,441,0,0
TXN00081116,CUST000165,MERCH00494,2024-12-17 06:51:31,15.16,Debit Card,Mobile App,Desktop,,PA,Approved,None,451,0,0
TXN00046089,CUST010483,MERCH00745,2024-07-30 03:39:05,106.64,Debit Card,In-Store,Mobile,Entertainment,AZ,Approved,None,196,0,0
TXN00047529,CUST007912,MERCH00457,2024-04-13 13:35:36,13.4,Debit Card,In-Store,POS Terminal,Fuel,PA,Approved,None,530,0,0
TXN00041187,CUST003676,MERCH00151,2024-03-25 01:39:32,22.64,Credit Card,In-Store,POS Terminal,Fuel,OR,Approved,None,235,0,0
TXN00062545,CUST008339,MERCH00337,2024-08-08 04:36:50,23.97,Debit Card,In-Store,Desktop,Retail,GA,Approved,None,297,0,0
TXN00079021,CUST005563,MERCH00022,2024-03-19 02:34:29,40.07,Debit Card,Online,Mobile,Restaurant,PA,Failed,Merchant Decline,429,0,0
TXN00070704,CUST003419,MERCH00383,2024-08-23 19:20:15,33.14,ACH,In-Store,Mobile,Retail,CO,Approved,None,288,0,0
TXN00095065,CUST005436,MERCH00043,2024-07-21 06:04:59,49.8,Credit Card,Online,Tablet,Entertainment,NY,Approved,None,80,0,0
TXN00076240,CUST010893,MERCH00161,2024-11-29 15:34:26,113.55,Debit Card,In-Store,Mobile,Grocery,AZ,Approved,None,384,0,0
TXN00032465,CUST007977,MERCH00466,2024-10-29 01:53:27,3.91,Debit Card,Online,POS Terminal,Retail,NV,Approved,None,408,0,0
TXN00015619,CUST010101,MERCH00769,2024-07-21 19:34:08,9.21,Digital Wallet,Online,Tablet,Electronics,GA,Approved,None,484,0,0
TXN00030511,CUST004838,MERCH00772,2024-08-08 03:03:41,12.24,Credit Card,Online,Mobile,Grocery,NV,Approved,None,397,0,0
TXN00039457,CUST011527,MERCH00053,2024-09-11 16:58:46,103.98,Credit Card,In-Store,Mobile,Grocery,TX,Approved,None,80,0,0
TXN00052417,CUST008999,MERCH00477,2024-02-17 00:18:21,12.13,ACH,Online,POS Terminal,Subscription,AZ,Approved,None,290,0,0
TXN00021432,CUST008487,MERCH00305,2024-07-01 01:13:12,26.2,Digital Wallet,Online,Mobile,Financial Services,NC,Failed,Network Error,671,0,0
TXN00050150,CUST006094,MERCH00432,2024-05-12 22:52:57,59.82,Credit Card,Online,POS Terminal,Retail,CO,Approved,None,289,0,0
TXN00053238,CUST009691,MERCH00343,2024-09-20 07:05:04,10.15,Credit Card,Online,Desktop,Retail,IL,Approved,None,674,0,0
TXN00091099,CUST002430,MERCH00402,2024-02-02 04:06:16,54.57,Debit Card,In-Store,Desktop,Electronics,TX,Approved,None,430,0,1
TXN00094335,CUST006092,MERCH00225,2024-06-06 18:48:49,25.36,ACH,In-Store,Desktop,Restaurant,MA,Approved,None,386,0,0
TXN00092526,CUST011728,MERCH00789,2024-06-07 00:43:33,202.77,Digital Wallet,In-Store,Mobile,Financial Services,NY,Approved,None,297,0,1
TXN00029307,CUST011171,MERCH00089,2024-08-13 12:52:07,58.51,Credit Card,Mobile App,Desktop,Grocery,AZ,Approved,None,193,0,0
TXN00095790,CUST008735,MERCH00107,2024-06-05 07:10:22,3.56,Credit Card,Online,POS Terminal,Grocery,CA,Approved,None,479,0,0
TXN00093215,CUST003019,MERCH00057,2024-11-07 05:04:57,3.9,ACH,In-Store,Desktop,Grocery,IL,Approved,None,395,0,0
TXN00020128,CUST002168,MERCH00460,2024-06-30 12:33:10,64.68,Credit Card,Online,Desktop,Fuel,PA,Approved,None,268,0,0
TXN00046359,CUST007696,MERCH00067,2024-10-21 17:37:58,10.16,ACH,Mobile App,Mobile,Healthcare,TX,Approved,None,645,0,0
TXN00061035,CUST008596,MERCH00045,2024-02-05 00:37:47,27.79,ACH,In-Store,Tablet,Fuel,NY,Approved,None,646,0,0
TXN00061483,CUST000188,MERCH00694,2024-10-15 23:05:50,25.11,Digital Wallet,In-Store,Desktop,Fuel,IL,Approved,None,350,0,0
TXN00028368,CUST002095,MERCH00306,2024-04-09 07:14:03,35.34,Debit Card,In-Store,POS Terminal,Restaurant,NV,Approved,None,532,0,0
TXN00049453,CUST010414,MERCH00222,2024-04-12 19:55:40,39.11,ACH,Mobile App,POS Terminal,Travel,GA,Approved,None,454,0,0
TXN00021005,CUST010623,MERCH00093,2024-01-13 08:25:02,108.37,Credit Card,In-Store,Mobile,Travel,NY,Approved,None,732,0,0
TXN00034192,CUST002267,MERCH00677,2024-03-19 21:38:20,47.13,Digital Wallet,In-Store,Tablet,Restaurant,CO,Approved,None,242,0,0
TXN00092849,CUST005550,MERCH00435,2024-03-22 15:49:39,135.69,Credit Card,Mobile App,Tablet,Subscription,PA,Approved,None,353,0,0
TXN00007216,CUST007434,MERCH00134,2024-10-21 09:00:55,24.43,Debit Card,Online,Mobile,Restaurant,OR,Approved,None,342,0,0
TXN00058307,CUST005484,MERCH00755,2024-02-12 04:03:29,76.12,Debit Card,Online,Mobile,Grocery,NY,Approved,None,969,1,0
TXN00004511,CUST002477,MERCH00393,2024-11-26 03:18:57,70.94,Credit Card,In-Store,POS Terminal,Retail,IL,Approved,None,743,0,0
TXN00077944,CUST009694,MERCH00153,2024-03-17 01:46:54,69.01,Credit Card,Online,POS Terminal,Travel,TX,Approved,None,701,0,0
TXN00032373,CUST006448,MERCH00430,2024-11-28 08:30:30,19.41,Digital Wallet,Online,Tablet,Restaurant,TX,Approved,None,151,1,0
TXN00026125,CUST008926,MERCH00344,2024-05-06 10:02:11,60.47,Credit Card,Online,Mobile,Entertainment,NC,Approved,None,249,0,0
